[BNB, SKY, BTC, NAS], 17.128525185523113
[BNB, SKY, ETH, AMB], 0.35253502824858757
[BNB, SKY, ETH, XRP], 0.3468478975265018
[BNB, SKY, ETH, TRX], 0.34737237316798203
[BNB, SKY, ETH, LSK], 0.3482280392156863
[BNB, SKY, ETH, SYS], 0.3483675896207224
[BNB, SKY, ETH, LTC], 0.34778251019885303
[BNB, SKY, ETH, ENJ], 0.3483218748222985
[BNB, SKY, ETH, WAN], 0.3511184790343075
[BNB, SKY, ETH, NXS], 0.3520514889705883
[BNB, SKY, ETH, DLT], 0.35168660973005955
[BNB, SKY, ETH, XLM], 0.3480994491433529
[BNB, SKY, ETH, MFT], 0.3504751185609158
[BNB, SKY, ETH, AGI], 0.35027203212290503
[BNB, SKY, ETH, EOS], 0.3470271878437844
[BNB, SKY, ETH, VIA], 0.35315584718100895
[BNB, SKY, ETH, OST], 0.3499739891426432
[BNB, SKY, ETH, BRD], 0.35167085698420536
[BNB, SKY, ETH, BAT], 0.34767035342118324
[BNB, SKY, ETH, ZIL], 0.3476760410557184
[BNB, SKY, ETH, XMR], 0.22895966485847788
[BNB, NAS, BTC, SKY], 5.0757112499999995
[BNB, NAS, BTC, XEM], 5.030703694267516
[BNB, NAS, BTC, NAV], 5.095616
[BNB, NAS, BTC, GTO], 5.0377112727272735
[BNB, NAS, BTC, WTC], 3.282432
[BNB, NAS, BTC, ZRX], 5.021987960741549
[BNB, NAS, BTC, POA], 5.086109253731344
[BNB, NAS, BTC, OMG], 4.131816
[BNB, NAS, BTC, CMT], 5.04465984
[BNB, NAS, BTC, HOT], 0.1072968
[BNB, NAS, BTC, CVC], 5.071765374449339
[BNB, NAS, BTC, CND], 5.128113551020409
[BNB, NAS, BTC, RCN], 5.102916309455588
[BNB, NAS, BTC, FTM], 0.7171960000000001
[BNB, NAS, BTC, BTS], 5.041762915451895
[BNB, NAS, BTC, BTT], 5.21663688
[BNB, NAS, BTC, ONE], 5.034223036144579
[BNB, NAS, BTC, RLC], 1.298375
[BNB, NAS, BTC, ONG], 5.052592883031301
[BNB, NAS, BTC, PHB], 0.012844
[BNB, NAS, BTC, GNT], 5.070759336585366
[BNB, NAS, BTC, BLZ], 5.091965845272207
[BNB, NAS, BTC, ONT], 5.023384329896908
[BNB, NAS, BTC, RDN], 5.084513017175084
[BNB, NAS, BTC, QSP], 4.686752
[BNB, NAS, BTC, FET], 4.511239999999999
[BNB, NAS, BTC, ETC], 0.749821
[BNB, NAS, BTC], 5.012344254124806
[BNB, NAS, BTC, MCO], 5.038625557894736
[BNB, NAS, BTC, ETH], 5.017015659876597
[BNB, NAS, BTC, NEO], 5.02517761294673
[BNB, NAS, BTC, ZEC], 4.268508
[BNB, NAS, BTC, REN], 5.081302471910113
[BNB, NAS, BTC, REP], 5.04240146714213
[BNB, NAS, BTC, ADA], 5.022249801047121
[BNB, NAS, BTC, ICX], 1.304072
[BNB, NAS, BTC, XZC], 5.031837971391418
[BNB, NAS, BTC, ZEN], 5.088264534212696
[BNB, NAS, BTC, VET], 5.073567661538461
[BNB, NAS, BTC, PAX], NaN
[BNB, NAS, BTC, QLC], 5.0497921151079135
[BNB, NAS, BTC, RVN], 0.7398
[BNB, NAS, BTC, ADX], 5.042685682201011
[BNB, NAS, BTC, AMB], 5.079985276073619
[BNB, NAS, BTC, XRP], 5.015230613903744
[BNB, NAS, BTC, TRX], 5.035291855153203
[BNB, NAS, BTC, LSK], 1.7694880000000002
[BNB, NAS, BTC, SYS], 5.030134953271029
[BNB, NAS, BTC, DCR], 5.0674285601056805
[BNB, NAS, BTC, LTC], 5.025151345474313
[BNB, NAS, BTC, ENJ], 5.023320078277886
[BNB, NAS, BTC, WAN], 5.067740638949672
[BNB, NAS, BTC, NXS], 5.079490632911393
[BNB, NAS, BTC, DLT], 5.078401081081082
[BNB, NAS, BTC, XLM], 5.027065112107623
[BNB, NAS, BTC, MFT], 5.132013257142857
[BNB, NAS, BTC, AGI], 4.391101
[BNB, NAS, BTC, EOS], 5.016709232854432
[BNB, NAS, BTC, VIA], 5.097786194207837
[BNB, NAS, BTC, OST], 1.76136
[BNB, NAS, BTC, BRD], 5.077742346938777
[BNB, NAS, BTC, BAT], 5.022287830572902
[BNB, NAS, BTC, ZIL], 4.163952
[BNB, NAS, BTC, XMR], 1.26469
[BNB, NAS, ETH, SKY], 2.5737913463855415
[BNB, NAS, ETH, XEM], 2.5616235102644715
[BNB, NAS, ETH, NAV], 2.5952884646924828
[BNB, NAS, ETH, GTO], 2.5710808695652174
[BNB, NAS, ETH, WTC], 2.568796833058841
[BNB, NAS, ETH, ZRX], 2.5554872204290864
[BNB, NAS, ETH, POA], 2.5789712134071783
[BNB, NAS, ETH, OMG], 2.5625105999999995
[BNB, NAS, ETH, CMT], 2.5614033979964095
[BNB, NAS, ETH, HOT], 0.1072968
[BNB, NAS, ETH, BTC], 2.5471386076961413
[BNB, NAS, ETH, CVC], 2.571845073086844
[BNB, NAS, ETH, CND], 2.6062591459411504
[BNB, NAS, ETH, RCN], 2.5926523931595553
[BNB, NAS, ETH, BTS], 2.570136647315564
[BNB, NAS, ETH, RLC], 1.298375
[BNB, NAS, ETH, GNT], 2.5725806062658765
[BNB, NAS, ETH, BLZ], 2.592253470304442
[BNB, NAS, ETH, ONT], 2.5536009772132986
[BNB, NAS, ETH, RDN], 2.5859136608430604
[BNB, NAS, ETH, QSP], 2.5784323423299633
[BNB, NAS, ETH, ETC], 0.749821
[BNB, NAS, ETH], 2.5493365285861
[BNB, NAS, ETH, MCO], 2.5639823652808413
[BNB, NAS, ETH, NEO], 2.5572957224483406
[BNB, NAS, ETH, ZEC], 0.457841299213557
[BNB, NAS, ETH, REP], 2.5635877377049177
[BNB, NAS, ETH, ADA], 2.5500085659713796
[BNB, NAS, ETH, ICX], 1.304072
[BNB, NAS, ETH, XZC], 1.9082530767636028
[BNB, NAS, ETH, ZEN], 2.581977705629771
[BNB, NAS, ETH, VET], 2.5523611818315555
[BNB, NAS, ETH, PAX], NaN
[BNB, NAS, ETH, QLC], 2.5713911919782744
[BNB, NAS, ETH, ADX], 2.5642436307391727
[BNB, NAS, ETH, AMB], 2.590703550401427
[BNB, NAS, ETH, XRP], 2.54891005876883
[BNB, NAS, ETH, TRX], 2.5527643166371394
[BNB, NAS, ETH, LSK], 1.7694880000000002
[BNB, NAS, ETH, SYS], 2.5600779467474344
[BNB, NAS, ETH, LTC], 2.5557783248260773
[BNB, NAS, ETH, ENJ], 2.559741998597342
[BNB, NAS, ETH, WAN], 2.580293637102922
[BNB, NAS, ETH, NXS], 2.587150125
[BNB, NAS, ETH, DLT], 2.5844687065077667
[BNB, NAS, ETH, XLM], 2.558107440468445
[BNB, NAS, ETH, MFT], 2.575565720359771
[BNB, NAS, ETH, AGI], 2.574073282122905
[BNB, NAS, ETH, EOS], 2.55022762446959
[BNB, NAS, ETH, VIA], 2.595265814243324
[BNB, NAS, ETH, OST], 1.76136
[BNB, NAS, ETH, BRD], 2.5843529429911154
[BNB, NAS, ETH, BAT], 2.5549541089643113
[BNB, NAS, ETH, ZIL], 2.554995906158357
[BNB, NAS, ETH, XMR], 0.22895966485847788
[BNB, XEM, BTC, SKY], 8.94479703125
[BNB, XEM, BTC, NAS], 8.895893174574208
[BNB, XEM, BTC, NAV], 5.6304
[BNB, XEM, BTC, GTO], 8.809880999999999
[BNB, XEM, BTC, WTC], 3.282432
[BNB, XEM, BTC, ZRX], 8.11688
[BNB, XEM, BTC, POA], 8.963121169154231
[BNB, XEM, BTC, OMG], 4.131816
[BNB, XEM, BTC, CMT], 8.89007592
[BNB, XEM, BTC, HOT], 0.1072968
[BNB, XEM, BTC, CVC], 8.13375
[BNB, XEM, BTC, CND], 6.040584
[BNB, XEM, BTC, RCN], 8.992739816618913
[BNB, XEM, BTC, FTM], 0.7171960000000001
[BNB, XEM, BTC, BTS], 8.884970743440233
[BNB, XEM, BTC, BTT], 9.19314669
[BNB, XEM, BTC, ONE], 8.871683405622491
[BNB, XEM, BTC, RLC], 1.298375
[BNB, XEM, BTC, ONG], 8.904056120263592
[BNB, XEM, BTC, PHB], 0.012844
[BNB, XEM, BTC, GNT], 8.9360704
[BNB, XEM, BTC, BLZ], 8.973442091690547
[BNB, XEM, BTC, ONT], 5.7487200000000005
[BNB, XEM, BTC, RDN], 8.96030816200974
[BNB, XEM, BTC, QSP], 4.686752
[BNB, XEM, BTC, FET], 4.511239999999999
[BNB, XEM, BTC, ETC], 0.749821
[BNB, XEM, BTC], 8.83312698371062
[BNB, XEM, BTC, MCO], 8.1162
[BNB, XEM, BTC, ETH], 8.841359283430267
[BNB, XEM, BTC, NEO], 8.855742886041808
[BNB, XEM, BTC, ZEC], 4.268508
[BNB, XEM, BTC, REN], 8.954650299625468
[BNB, XEM, BTC, REP], 8.886096046867042
[BNB, XEM, BTC, ADA], 8.85058327748691
[BNB, XEM, BTC, ICX], 1.304072
[BNB, XEM, BTC, XZC], 8.867480266579975
[BNB, XEM, BTC, ZEN], 8.966919365210224
[BNB, XEM, BTC, VET], 8.94101943974359
[BNB, XEM, BTC, PAX], NaN
[BNB, XEM, BTC, QLC], 8.899120398081536
[BNB, XEM, BTC, RVN], 0.7398
[BNB, XEM, BTC, ADX], 8.886596911847278
[BNB, XEM, BTC, AMB], 8.952329038854804
[BNB, XEM, BTC, XRP], 8.83821354224599
[BNB, XEM, BTC, TRX], 8.873566958217271
[BNB, XEM, BTC, LSK], 1.7694880000000002
[BNB, XEM, BTC, SYS], 8.864479080996887
[BNB, XEM, BTC, DCR], 8.930200657199473
[BNB, XEM, BTC, LTC], 8.855696595542266
[BNB, XEM, BTC, ENJ], 7.322509999999999
[BNB, XEM, BTC, WAN], 8.93075062582057
[BNB, XEM, BTC, NXS], 8.951457341772153
[BNB, XEM, BTC, DLT], 8.772828
[BNB, XEM, BTC, XLM], 8.859069177877428
[BNB, XEM, BTC, MFT], 9.044016628571429
[BNB, XEM, BTC, AGI], 4.391101
[BNB, XEM, BTC, EOS], 7.941700000000001
[BNB, XEM, BTC, VIA], 8.17452
[BNB, XEM, BTC, OST], 1.76136
[BNB, XEM, BTC, BRD], 8.948376381802722
[BNB, XEM, BTC, BAT], 6.511736
[BNB, XEM, BTC, ZIL], 4.163952
[BNB, XEM, BTC, XMR], 1.26469
[BNB, XEM, ETH, SKY], 0.5232060045180722
[BNB, XEM, ETH, NAS], 0.5220441572436916
[BNB, XEM, ETH, NAV], 0.527575986332574
[BNB, XEM, ETH, GTO], 0.5226550127877237
[BNB, XEM, ETH, WTC], 0.5221907087887409
[BNB, XEM, ETH, ZRX], 0.5194851012594138
[BNB, XEM, ETH, POA], 0.5242589793569733
[BNB, XEM, ETH, OMG], 0.5209128294117646
[BNB, XEM, ETH, CMT], 0.5206877549365916
[BNB, XEM, ETH, HOT], 0.1072968
[BNB, XEM, ETH, BTC], 0.5177879767751751
[BNB, XEM, ETH, CVC], 0.5228103617719181
[BNB, XEM, ETH, CND], 0.5298061307112228
[BNB, XEM, ETH, RCN], 0.5270401198738172
[BNB, XEM, ETH, BTS], 0.5224630691978474
[BNB, XEM, ETH, RLC], 0.5241776034122563
[BNB, XEM, ETH, GNT], 0.5229598825853796
[BNB, XEM, ETH, BLZ], 0.5269590259524206
[BNB, XEM, ETH, ONT], 0.5191016615614494
[BNB, XEM, ETH, RDN], 0.5256702554456918
[BNB, XEM, ETH, QSP], 0.5241494364510746
[BNB, XEM, ETH, ETC], 0.5187649675289807
[BNB, XEM, ETH], 0.5182347750009509
[BNB, XEM, ETH, MCO], 0.5212120131172577
[BNB, XEM, ETH, NEO], 0.5198527375547902
[BNB, XEM, ETH, ZEC], 0.457841299213557
[BNB, XEM, ETH, REP], 0.5211317923497267
[BNB, XEM, ETH, ADA], 0.518371388248848
[BNB, XEM, ETH, ICX], 0.5199252885735625
[BNB, XEM, ETH, XZC], 0.519955989558793
[BNB, XEM, ETH, ZEN], 0.5248701457538169
[BNB, XEM, ETH, VET], 0.5188496332107393
[BNB, XEM, ETH, PAX], NaN
[BNB, XEM, ETH, QLC], 0.5227180958150546
[BNB, XEM, ETH, ADX], 0.521265123738196
[BNB, XEM, ETH, AMB], 0.5266439548022599
[BNB, XEM, ETH, XRP], 0.5181480812720848
[BNB, XEM, ETH, TRX], 0.5189315833467547
[BNB, XEM, ETH, LSK], 0.5202098431372549
[BNB, XEM, ETH, SYS], 0.5204183142715068
[BNB, XEM, ETH, LTC], 0.5195442776058808
[BNB, XEM, ETH, ENJ], 0.5203500219876035
[BNB, XEM, ETH, WAN], 0.5245278045743328
[BNB, XEM, ETH, NXS], 0.5259216066176471
[BNB, XEM, ETH, DLT], 0.5253765219285824
[BNB, XEM, ETH, XLM], 0.5200177453914552
[BNB, XEM, ETH, MFT], 0.5235667031888798
[BNB, XEM, ETH, AGI], 0.5232633170391061
[BNB, XEM, ETH, EOS], 0.518415918945466
[BNB, XEM, ETH, VIA], 0.5275713818991099
[BNB, XEM, ETH, OST], 0.5228180774990641
[BNB, XEM, ETH, BRD], 0.5253529892645608
[BNB, XEM, ETH, BAT], 0.5193767291802865
[BNB, XEM, ETH, ZIL], 0.5193852258064515
[BNB, XEM, ETH, XMR], 0.22895966485847788
[BNB, NAV, BTC, SKY], 2.342872
[BNB, NAV, BTC, NAS], 2.3300628243309
[BNB, NAV, BTC, XEM], 2.32209718895966
[BNB, NAV, BTC, GTO], 2.325331781818182
[BNB, NAV, BTC, WTC], 2.329012216606498
[BNB, NAV, BTC, ZRX], 2.31807413740458
[BNB, NAV, BTC, POA], 2.347671562189055
[BNB, NAV, BTC, OMG], 2.33420928
[BNB, NAV, BTC, CMT], 2.3285391359999994
[BNB, NAV, BTC, HOT], 0.1072968
[BNB, NAV, BTC, CVC], 2.341050643171806
[BNB, NAV, BTC, CND], 2.367060114285714
[BNB, NAV, BTC, RCN], 2.355429446418338
[BNB, NAV, BTC, FTM], 0.7171960000000001
[BNB, NAV, BTC, BTS], 2.3272019591836735
[BNB, NAV, BTC, BTT], 2.407921152
[BNB, NAV, BTC, ONE], 2.3237216642570284
[BNB, NAV, BTC, RLC], 1.298375
[BNB, NAV, BTC, ONG], 2.3322009093904446
[BNB, NAV, BTC, PHB], 0.012844
[BNB, NAV, BTC, GNT], 2.340586271219512
[BNB, NAV, BTC, BLZ], 2.350374876790831
[BNB, NAV, BTC, ONT], 2.3187186804123714
[BNB, NAV, BTC, RDN], 2.3469347633940014
[BNB, NAV, BTC, QSP], 2.3361674378378376
[BNB, NAV, BTC, FET], 2.3158578180172023
[BNB, NAV, BTC, ETC], 0.749821
[BNB, NAV, BTC], 2.3136227474228157
[BNB, NAV, BTC, MCO], 2.325753802105263
[BNB, NAV, BTC, ETH], 2.31577899808355
[BNB, NAV, BTC, NEO], 2.319546432906271
[BNB, NAV, BTC, ZEC], 2.3197870104061766
[BNB, NAV, BTC, REN], 2.3454528239700374
[BNB, NAV, BTC, REP], 2.327496705043301
[BNB, NAV, BTC, ADA], 2.3181949989528796
[BNB, NAV, BTC, ICX], 1.304072
[BNB, NAV, BTC, XZC], 2.3226207542262682
[BNB, NAV, BTC, ZEN], 2.3486664072547403
[BNB, NAV, BTC, VET], 2.3418825517948716
[BNB, NAV, BTC, PAX], NaN
[BNB, NAV, BTC, QLC], 2.330908117026379
[BNB, NAV, BTC, RVN], 0.7398
[BNB, NAV, BTC, ADX], 2.327627894441325
[BNB, NAV, BTC, AMB], 2.3448448261758688
[BNB, NAV, BTC, XRP], 2.314955047700535
[BNB, NAV, BTC, TRX], 2.3242150150417826
[BNB, NAV, BTC, LSK], 1.7694880000000002
[BNB, NAV, BTC, SYS], 2.3218346666666667
[BNB, NAV, BTC, DCR], 2.3390488348745047
[BNB, NAV, BTC, LTC], 2.319534308235933
[BNB, NAV, BTC, ENJ], 2.31868902283105
[BNB, NAV, BTC, WAN], 2.339192885776805
[BNB, NAV, BTC, NXS], 2.3446165063291144
[BNB, NAV, BTC, DLT], 2.344113585585586
[BNB, NAV, BTC, XLM], 2.320417674140508
[BNB, NAV, BTC, MFT], 2.3688601599999997
[BNB, NAV, BTC, AGI], 2.331408561922366
[BNB, NAV, BTC, EOS], 2.3156375559772298
[BNB, NAV, BTC, VIA], 2.353061462350937
[BNB, NAV, BTC, OST], 1.76136
[BNB, NAV, BTC, BRD], 2.343809523809524
[BNB, NAV, BTC, BAT], 2.318212552810209
[BNB, NAV, BTC, ZIL], 2.3222868253164552
[BNB, NAV, BTC, XMR], 1.26469
[BNB, NAV, ETH, SKY], 0.21905682831325296
[BNB, NAV, ETH, NAS], 0.21857038401270512
[BNB, NAV, ETH, XEM], 0.2180212169410024
[BNB, NAV, ETH, GTO], 0.21882613810741688
[BNB, NAV, ETH, WTC], 0.21863174247641862
[BNB, NAV, ETH, ZRX], 0.21749895386367946
[BNB, NAV, ETH, POA], 0.21949768970725742
[BNB, NAV, ETH, OMG], 0.2180967176470588
[BNB, NAV, ETH, CMT], 0.21800248306213443
[BNB, NAV, ETH, HOT], 0.1072968
[BNB, NAV, ETH, BTC], 0.21678839874091754
[BNB, NAV, ETH, CVC], 0.2188911798987293
[BNB, NAV, ETH, CND], 0.22182018098477005
[BNB, NAV, ETH, RCN], 0.2206621026066744
[BNB, NAV, ETH, BTS], 0.218745774820967
[BNB, NAV, ETH, RLC], 0.21946361908077996
[BNB, NAV, ETH, GNT], 0.2189537815410669
[BNB, NAV, ETH, BLZ], 0.22062815005822659
[BNB, NAV, ETH, ONT], 0.2173384146432574
[BNB, NAV, ETH, RDN], 0.22008856531112928
[BNB, NAV, ETH, QSP], 0.2194518260869565
[BNB, NAV, ETH, ETC], 0.2171974469819009
[BNB, NAV, ETH], 0.2169754650233938
[BNB, NAV, ETH, MCO], 0.21822198041744442
[BNB, NAV, ETH, NEO], 0.21765287648716342
[BNB, NAV, ETH, ZEC], 0.21762982532687297
[BNB, NAV, ETH, REP], 0.21818839344262292
[BNB, NAV, ETH, ADA], 0.21703266250303174
[BNB, NAV, ETH, ICX], 0.21768325227781926
[BNB, NAV, ETH, XZC], 0.2176961062213762
[BNB, NAV, ETH, ZEN], 0.21975357395038167
[BNB, NAV, ETH, VET], 0.21723289496138287
[BNB, NAV, ETH, PAX], NaN
[BNB, NAV, ETH, QLC], 0.21885254982243574
[BNB, NAV, ETH, ADX], 0.21824421686746986
[BNB, NAV, ETH, AMB], 0.22049623550401426
[BNB, NAV, ETH, XRP], 0.2169391679375116
[BNB, NAV, ETH, TRX], 0.21726720599130295
[BNB, NAV, ETH, LSK], 0.21780239009287924
[BNB, NAV, ETH, SYS], 0.2178896731612495
[BNB, NAV, ETH, LTC], 0.21752372992254784
[BNB, NAV, ETH, ENJ], 0.21786108042534638
[BNB, NAV, ETH, WAN], 0.21961024193138498
[BNB, NAV, ETH, NXS], 0.2201938014705882
[BNB, NAV, ETH, DLT], 0.21996558443539074
[BNB, NAV, ETH, XLM], 0.21772196226415091
[BNB, NAV, ETH, MFT], 0.2192078462796402
[BNB, NAV, ETH, AGI], 0.21908082402234635
[BNB, NAV, ETH, EOS], 0.2170513066949552
[BNB, NAV, ETH, VIA], 0.22088453234421365
[BNB, NAV, ETH, OST], 0.21889441033320853
[BNB, NAV, ETH, BRD], 0.21995573173741365
[BNB, NAV, ETH, BAT], 0.21745358044723098
[BNB, NAV, ETH, ZIL], 0.217457137829912
[BNB, NAV, ETH, XMR], 0.21766691626832804
[BNB, GTO, BTC, SKY], 6.487954375
[BNB, GTO, BTC, NAS], 6.452482805352798
[BNB, GTO, BTC, XEM], 5.45848
[BNB, GTO, BTC, NAV], 5.6304
[BNB, GTO, BTC, WTC], 3.282432
[BNB, GTO, BTC, ZRX], 6.419283358778626
[BNB, GTO, BTC, POA], 6.501245472636817
[BNB, GTO, BTC, OMG], 4.131816
[BNB, GTO, BTC, CMT], 6.4482633599999994
[BNB, GTO, BTC, HOT], 0.1072968
[BNB, GTO, BTC, CVC], 6.482910616740088
[BNB, GTO, BTC, CND], 6.040584
[BNB, GTO, BTC, RCN], 6.522728848137537
[BNB, GTO, BTC, FTM], 0.7171960000000001
[BNB, GTO, BTC, BTS], 6.444560408163266
[BNB, GTO, BTC, BTT], 6.668090520000001
[BNB, GTO, BTC, ONE], 6.434922666666667
[BNB, GTO, BTC, RLC], 1.298375
[BNB, GTO, BTC, ONG], 6.458403657331137
[BNB, GTO, BTC, PHB], 0.012844
[BNB, GTO, BTC, GNT], 6.481624663414634
[BNB, GTO, BTC, BLZ], 6.508731575931233
[BNB, GTO, BTC, ONT], 5.7487200000000005
[BNB, GTO, BTC, RDN], 6.499205106382979
[BNB, GTO, BTC, QSP], 4.686752
[BNB, GTO, BTC, FET], 4.511239999999999
[BNB, GTO, BTC, ETC], 0.749821
[BNB, GTO, BTC], 6.406956430501272
[BNB, GTO, BTC, MCO], 6.44055012631579
[BNB, GTO, BTC, ETH], 6.4129275872302385
[BNB, GTO, BTC, NEO], 6.423360485502361
[BNB, GTO, BTC, ZEC], 4.268508
[BNB, GTO, BTC, REN], 6.495101273408239
[BNB, GTO, BTC, REP], 6.445376627610801
[BNB, GTO, BTC, ADA], 6.419618052356022
[BNB, GTO, BTC, ICX], 1.304072
[BNB, GTO, BTC, XZC], 6.43187399219766
[BNB, GTO, BTC, ZEN], 6.5040004286892
[BNB, GTO, BTC, VET], 6.485214364102564
[BNB, GTO, BTC, PAX], NaN
[BNB, GTO, BTC, QLC], 6.454823616306954
[BNB, GTO, BTC, RVN], 0.7398
[BNB, GTO, BTC, ADX], 6.445739921392476
[BNB, GTO, BTC, AMB], 6.493417586912065
[BNB, GTO, BTC, XRP], 6.410645878074867
[BNB, GTO, BTC, TRX], 6.436288869080779
[BNB, GTO, BTC, LSK], 1.7694880000000002
[BNB, GTO, BTC, SYS], 6.429697133956386
[BNB, GTO, BTC, DCR], 6.47736714663144
[BNB, GTO, BTC, LTC], 6.423326909486273
[BNB, GTO, BTC, ENJ], 6.420986118721461
[BNB, GTO, BTC, WAN], 6.477766056892779
[BNB, GTO, BTC, NXS], 6.492785316455698
[BNB, GTO, BTC, DLT], 6.491392612612613
[BNB, GTO, BTC, XLM], 6.425773153961136
[BNB, GTO, BTC, MFT], 6.5599216
[BNB, GTO, BTC, AGI], 4.391101
[BNB, GTO, BTC, EOS], 6.412535901328274
[BNB, GTO, BTC, VIA], 6.516171352640546
[BNB, GTO, BTC, OST], 1.76136
[BNB, GTO, BTC, BRD], 6.490550595238097
[BNB, GTO, BTC, BAT], 6.41966666304643
[BNB, GTO, BTC, ZIL], 4.163952
[BNB, GTO, BTC, XMR], 1.26469
[BNB, GTO, ETH, SKY], 6.938153137048192
[BNB, GTO, ETH, NAS], 6.922746061743427
[BNB, GTO, ETH, XEM], 5.45848
[BNB, GTO, ETH, NAV], 5.6304
[BNB, GTO, ETH, WTC], 3.282432
